company_id,employee_count,follower_count,time_recorded
81149246,6,91,2023-08-21 19:04:04.277973504
10033339,3,187,2023-08-21 19:04:04.277973504
6049228,20,82,2023-08-21 19:04:05.101318400
2641066,45,2336,2023-08-21 19:04:05.923216640
82684341,3,128,2023-08-21 19:04:06.370465536
86746333,11,478,2023-08-21 19:04:06.818224384
718651,5,22,2023-08-21 19:04:07.176562688
4781041,14,17,2023-08-21 19:04:07.627219968
7573454,94,9048,2023-08-21 19:04:08.061346816
1434753,61,653,2023-08-21 19:04:08.061346816
90844,249,1236,2023-08-21 19:04:08.443550208
91459053,2,24,2023-08-21 19:04:08.827628800
145145,44,16833,2023-08-21 19:04:08.827628800
2899710,139,2841,2023-08-21 19:04:09.205593088
20338460,38,1656,2023-08-21 19:04:09.205593088
90633414,5,732,2023-08-21 19:04:09.578195968
2902815,183,29262,2023-08-21 19:04:09.578195968
371180,1893,31310,2023-08-21 19:04:09.991494400
10563070,14,349,2023-08-21 19:04:09.991494400
88684,147,8111,2023-08-21 19:04:10.343549952
14615655,36,10237,2023-08-21 19:04:10.343549952
69571610,3717,158109,2023-08-21 19:04:10.686329088
3657,28732,744716,2023-08-21 19:04:10.686329088
62424,899,10311,2023-08-21 19:04:11.051395072
18630069,19,1884,2023-08-21 19:04:11.051395072
1387626,1676,39770,2023-08-21 19:04:11.449498880
35602,462,5824,2023-08-21 19:04:11.449498880
18872958,335,156482,2023-08-21 19:04:12.097685760
89908682,18,301,2023-08-21 19:04:12.097685760
2502541,29,8058,2023-08-21 19:04:13.155198976
9516195,113,8089,2023-08-21 19:04:13.155198976
298409,395,146046,2023-08-21 19:04:13.525696768
37768,2025,231325,2023-08-21 19:04:13.940610816
91187899,2,582,2023-08-21 19:04:13.941659648
7032083,119,40756,2023-08-21 19:04:14.387137024
33874,3725,15731,2023-08-21 19:04:14.388161280
81886402,1687,30991,2023-08-21 19:04:15.195741952
34771768,7,413,2023-08-21 19:04:15.583386368
3579761,1873,17929,2023-08-21 19:04:15.583386368
6979,25985,387187,2023-08-21 19:04:15.969581312
6979,25985,387187,2023-08-21 19:04:16.352749056
79378951,19,95,2023-08-21 19:04:16.718824704
26489605,19,762,2023-08-21 19:04:16.718824704
9215353,499,6977,2023-08-21 19:04:17.086397184
81886402,1687,30991,2023-08-21 19:04:17.086397184
81886402,1687,30991,2023-08-21 19:04:17.430935040
76323347,932,14276,2023-08-21 19:04:17.431935744
76323347,932,14276,2023-08-21 19:04:17.847505920
81886402,1687,30991,2023-08-21 19:04:18.307568896
81886402,1687,30991,2023-08-21 19:04:18.308486400
76323347,932,14276,2023-08-21 19:04:18.664508928
81886402,1687,30991,2023-08-21 19:04:18.664508928
81886402,1687,30991,2023-08-21 19:04:19.012886272
3514329,422,20754,2023-08-21 19:04:19.012886272
2999886,17,16309,2023-08-21 19:04:19.362917632
8288,5521,87035,2023-08-21 19:04:19.362917632
2815,43186,284104,2023-08-21 19:04:19.998112512
81886402,1687,30991,2023-08-21 19:04:19.998112512
61677,2815,389704,2023-08-21 19:04:20.339250432
40934666,5,16505,2023-08-21 19:04:20.339250432
8288,5521,87035,2023-08-21 19:04:20.797165568
