company_id,industry
1009,"['Information Technology & Services', 'IT Services and IT Consulting']"
1016,"['Hospital & Health Care', 'Hospitals and Health Care']"
1021,"['Renewables & Environment', 'Renewable Energy Semiconductor Manufacturing']"
1025,"['Information Technology & Services', 'IT Services and IT Consulting']"
1028,"['Information Technology & Services', 'IT Services and IT Consulting']"
1033,['Business Consulting and Services']
1038,"['Management Consulting', 'Business Consulting and Services']"
1043,['Industrial Automation']
1044,['Information Technology & Services']
1052,['Telecommunications']
1060,['Information Technology & Services']
1063,"['Computer Software', 'Software Development']"
1068,['Financial Services']
1090,['Hospitals and Health Care']
1103,"['Information Technology & Services', 'IT Services and IT Consulting']"
1115,"['Computer Software', 'Software Development']"
1116,['Consumer Goods']
1123,['Banking']
1185,"['Pharmaceuticals', 'Pharmaceutical Manufacturing']"
1201,['Medical Equipment Manufacturing']
1230,['Armed Forces']
1235,['Financial Services']
1241,['Financial Services']
1248,['Consumer Goods']
1252,['Entertainment Providers']
1254,['Entertainment']
1259,"['Information Technology & Services', 'IT Services and IT Consulting']"
1262,['Financial Services']
1264,['Financial Services']
1281,['Information Technology & Services']
1283,"['Information Technology & Services', 'IT Services and IT Consulting']"
1288,['Software Development']
1307,['Financial Services']
1318,"['Information Technology & Services', 'IT Services and IT Consulting']"
1337,['Software Development']
1339,['Armed Forces']
1344,"['Electrical & Electronic Manufacturing', 'Appliances, Electrical, and Electronics Manufacturing']"
1353,"['Information Technology & Services', 'IT Services and IT Consulting']"
1373,"['Management Consulting', 'Business Consulting and Services']"
1384,['Aviation and Aerospace Component Manufacturing']
1389,"['Oil & Energy', 'Oil and Gas']"
1392,['Telecommunications']
1393,['Food and Beverage Services']
1396,['Manufacturing']
1399,"['Pharmaceuticals', 'Pharmaceutical Manufacturing']"
1400,"['Computer Software', 'Software Development']"
1403,"['Information Technology & Services', 'IT Services and IT Consulting']"
1406,"['Pharmaceuticals', 'Pharmaceutical Manufacturing']"
1412,"['Defense & Space', 'Defense and Space Manufacturing']"
1415,"['Information Technology & Services', 'IT Services and IT Consulting']"
1419,['Financial Services']
1431,"['Food & Beverages', 'Food and Beverage Services']"
1441,"['Computer Software', 'Software Development']"
1449,['Entertainment Providers']
1463,"['Human Resources', 'Human Resources Services']"
1464,"['Computer Software', 'Software Development']"
1468,"['Computer Software', 'Software Development']"
1472,['Motor Vehicle Manufacturing']
1474,['Financial Services']
1480,"['Computer Software', 'Software Development']"
1481,['Computer Software']
1482,"['Computer Software', 'Software Development']"
1483,['Motor Vehicle Manufacturing']
1486,['Pharmaceutical Manufacturing']
1491,['Software Development']
1494,"['Information Technology & Services', 'IT Services and IT Consulting']"
1497,"['Semiconductors', 'Semiconductor Manufacturing']"
1504,['Defense and Space Manufacturing']
1505,"['Defense & Space', 'Defense and Space Manufacturing']"
1508,['Banking']
1511,"['Food Production', 'Food and Beverage Manufacturing']"
1512,['Retail']
1523,"['Transportation/Trucking/Railroad', 'Truck Transportation']"
1526,"['Biotechnology', 'Biotechnology Research']"
1534,['Retail']
1539,['Software Development']
1551,['Hospitals and Health Care']
1586,"['Computer Software', 'Software Development']"
1603,"['Pharmaceuticals', 'Pharmaceutical Manufacturing']"
1612,['Hospitals and Health Care']
1614,"['Information Technology & Services', 'IT Services and IT Consulting']"
1627,"['Hospital & Health Care', 'Hospitals and Health Care']"
1630,"['Hospital & Health Care', 'Hospitals and Health Care']"
1637,"['Medical Device', 'Medical Equipment Manufacturing']"
1642,"['Pharmaceuticals', 'Pharmaceutical Manufacturing']"
1645,['Higher Education']
1646,['Higher Education']
1658,"['Hospital & Health Care', 'Hospitals and Health Care']"
1662,['Personal Care Product Manufacturing']
1663,"['Pharmaceuticals', 'Pharmaceutical Manufacturing']"
1668,"['Package/Freight Delivery', 'Freight and Package Transportation']"
1670,['Truck Transportation']
1673,['Advertising Services']
1677,['Retail']
1680,"['Information Technology & Services', 'IT Services and IT Consulting']"
1681,"['Staffing & Recruiting', 'Staffing and Recruiting']"
1689,['Oil & Energy']
1703,['Telecommunications']
1714,"['Computer Software', 'Software Development']"
1756,"['Information Technology & Services', 'IT Services and IT Consulting']"
1767,['Financial Services']
1773,['Pharmaceutical Manufacturing']
1784,"['Management Consulting', 'Business Consulting and Services']"
1792,['Higher Education']
1799,"['Staffing & Recruiting', 'Staffing and Recruiting']"
1808,['Banking']
1828,"['Entertainment', 'Entertainment Providers']"
1833,['Broadcast Media Production and Distribution']
1841,"['Medical Device', 'Medical Equipment Manufacturing']"
1852,['Financial Services']
1869,['Information Technology & Services']
1874,['Insurance']
1879,"['Computer Software', 'Software Development']"
1881,['Defense and Space Manufacturing']
1900,['Hospitals and Health Care']
1906,"['Defense & Space', 'Defense and Space Manufacturing']"
1908,['Defense & Space']
1929,['Human Resources Services']
1951,['IT Services and IT Consulting']
1970,['Banking']
1974,['Telecommunications']
2017,['Telecommunications']
2018,"['Semiconductors', 'Semiconductor Manufacturing']"
2019,['Financial Services']
2029,['Retail']
2032,['Telecommunications']
2041,['Financial Services']
2046,['Broadcast Media Production and Distribution']
2059,"['Electrical & Electronic Manufacturing', 'Appliances, Electrical, and Electronics Manufacturing']"
2078,['Information Services']
2082,['Broadcast Media Production and Distribution']
2087,"['Automotive', 'Motor Vehicle Manufacturing']"
2105,['Information Technology & Services']
2107,['Automotive']
2121,"['Leisure, Travel & Tourism']"
2137,['Higher Education']
2148,['Semiconductors']
2152,"['Information Technology & Services', 'IT Services and IT Consulting']"
2153,['Staffing and Recruiting']
2157,"['Computer Software', 'Software Development']"
2162,"['Hospital & Health Care', 'Hospitals and Health Care']"
2190,['IT Services and IT Consulting']
2192,['Oil & Energy']
2193,['IT Services and IT Consulting']
2206,['Information Technology & Services']
2213,['Insurance']
2217,['Oil and Gas']
2219,['IT Services and IT Consulting']
2227,['Pharmaceuticals']
2230,"['Consumer Goods', 'Manufacturing']"
2235,['Banking']
2238,['Food and Beverage Manufacturing']
2240,['Software Development']
2247,"['Mechanical Or Industrial Engineering', 'Industrial Machinery Manufacturing']"
2251,['Retail']
2252,['Retail']
2271,['Retail']
2272,['Airlines and Aviation']
2276,['Biotechnology']
2279,"['Electrical & Electronic Manufacturing', 'Appliances, Electrical, and Electronics Manufacturing']"
2300,['Retail']
2305,"['Information Technology & Services', 'IT Services and IT Consulting']"
2307,"['Staffing & Recruiting', 'Staffing and Recruiting']"
2311,['Hospitality']
2319,['Real Estate']
2327,['Human Resources']
2329,['Automation Machinery Manufacturing']
2336,['Computer and Network Security']
2340,['Insurance']
2380,['Airlines and Aviation']
2381,['Insurance']
2423,['Information Technology & Services']
2432,['Accounting']
2445,['Financial Services']
2449,['Hospitality']
2457,['Software Development']
2459,['Insurance']
2465,['Marketing & Advertising']
2467,['Financial Services']
2474,"['Hospital & Health Care', 'Hospitals and Health Care']"
2476,"['Hospital & Health Care', 'Hospitals and Health Care']"
2477,['Higher Education']
2483,['Information Services']
2494,['Financial Services']
2516,['Higher Education']
2519,['Higher Education']
2528,['Computer Games']
2532,['Banking']
2534,['Information Services']
2539,"['Broadcast Media', 'Broadcast Media Production and Distribution']"
2562,"['Chemicals', 'Chemical Manufacturing']"
2576,['IT Services and IT Consulting']
2582,['Hospitals and Health Care']
2584,['Higher Education']
2593,['Marketing & Advertising']
2609,['Electrical & Electronic Manufacturing']
2612,"['Aviation & Aerospace', 'Aviation and Aerospace Component Manufacturing']"
2622,['Machinery Manufacturing']
2623,['Hospital & Health Care']
2633,['Chemical Manufacturing']
2645,['Telecommunications']
2646,['Retail']
2648,['Higher Education']
2649,['Higher Education']
2650,['Higher Education']
2651,['Government Administration']
2652,['Government Administration']
2654,['Government Administration']
2660,['Government Administration']
2662,['Administration of Justice']
2666,['Law Enforcement']
2669,['Automotive']
2677,['Restaurants']
2678,['Food Production']
2690,['Financial Services']
2701,['Insurance']
2709,"['Computer Software', 'Software Development']"
2722,['Semiconductors']
2723,"['Aviation & Aerospace', 'Aviation and Aerospace Component Manufacturing']"
2730,"['Marketing & Advertising', 'Advertising Services']"
2734,"['Aviation & Aerospace', 'Aviation and Aerospace Component Manufacturing']"
2739,['Advertising Services']
2743,['Retail']
2748,['Consumer Goods']
2750,"['Leisure, Travel & Tourism']"
2751,['Computer Software']
2753,['Industrial Machinery Manufacturing']
2775,['Banking']
2776,['Wholesale Building Materials']
2786,['Financial Services']
2787,['Banking']
2815,['Hospitality']
2819,"['Marketing & Advertising', 'Advertising Services']"
2842,['Higher Education']
2859,['Accounting']
2868,['Computer Hardware Manufacturing']
2875,"['Information Technology & Services', 'IT Services and IT Consulting']"
2880,['Computer Software']
2882,['Industrial Machinery Manufacturing']
2889,['Staffing and Recruiting']
2895,['Hospitals and Health Care']
2896,['Hospitals and Health Care']
2898,['Hospitals and Health Care']
2899,['Hospitals and Health Care']
2911,['Retail']
2913,['Retail']
2915,['Retail']
2918,['Retail']
2931,['Industrial Automation']
2933,['Education Management']
2934,['Financial Services']
2958,['Government Administration']
2962,['Airlines/Aviation']
2981,['Wholesale Building Materials']
2982,['Plastics']
2985,['Mechanical Or Industrial Engineering']
2986,['Wholesale Building Materials']
2988,['Computer Software']
2995,['Government Administration']
2997,['Government Administration']
3007,['Musicians']
3015,"['Information Technology & Services', 'IT Services and IT Consulting']"
3027,['IT Services and IT Consulting']
3028,['Higher Education']
3029,['Hospitals and Health Care']
3032,['Financial Services']
3033,['Information Technology & Services']
3047,['Mining']
3067,['Information Technology & Services']
3072,"['Semiconductors', 'Semiconductor Manufacturing']"
3076,['Information Technology & Services']
3084,['Higher Education']
3088,['Insurance']
3090,['Computer and Network Security']
3102,['Medical Device']
3117,['Translation & Localization']
3123,['Chemical Manufacturing']
3128,"['Information Technology & Services', 'IT Services and IT Consulting']"
3135,['Hospitality']
3137,['Retail Apparel and Fashion']
3140,['Financial Services']
3162,['Higher Education']
3163,['Hospitals and Health Care']
3165,['Higher Education']
3169,['Software Development']
3175,['Industrial Machinery Manufacturing']
3178,['Real Estate']
3184,['Financial Services']
3185,['Software Development']
3196,['Higher Education']
3214,['Manufacturing']
3222,['Chemical Manufacturing']
3235,['Pharmaceutical Manufacturing']
3240,['Insurance']
3242,['Paper and Forest Product Manufacturing']
3246,['Insurance']
3252,['Banking']
3256,['Financial Services']
3260,"['Mechanical Or Industrial Engineering', 'Industrial Machinery Manufacturing']"
3264,['Insurance']
3269,"['Transportation/Trucking/Railroad', 'Truck Transportation']"
3304,['Construction']
3321,['Packaging and Containers Manufacturing']
3327,['Fundraising']
3334,"['Information Technology & Services', 'IT Services and IT Consulting']"
3335,['Aviation & Aerospace']
3337,"['Aviation & Aerospace', 'Aviation and Aerospace Component Manufacturing']"
3339,['Defense and Space Manufacturing']
3342,['Education Administration Programs']
3364,['Information Technology & Services']
3379,['Retail']
3384,['Hospital & Health Care']
3392,['Electrical & Electronic Manufacturing']
3398,['Computer Software']
3400,['Advertising Services']
3407,['Restaurants']
3409,['Restaurants']
3411,"['Paper & Forest Products', 'Paper and Forest Product Manufacturing']"
3432,['Financial Services']
3439,"['Consumer Goods', 'Manufacturing']"
3450,"['Semiconductors', 'Semiconductor Manufacturing']"
3460,['Hospitals and Health Care']
3469,['Manufacturing']
3476,"['Staffing & Recruiting', 'Staffing and Recruiting']"
3486,"['Staffing & Recruiting', 'Staffing and Recruiting']"
3493,['Food and Beverage Services']
3498,['Retail']
3524,['Hospitals and Health Care']
3528,['Higher Education']
3532,['Banking']
3534,"['Automotive', 'Motor Vehicle Manufacturing']"
3536,"['Public Relations & Communications', 'Public Relations and Communications Services']"
3537,['Financial Services']
3538,"['Information Technology & Services', 'IT Services and IT Consulting']"
3549,['Hospitality']
3556,['Higher Education']
3557,['Research']
3558,['Higher Education']
3569,['Telecommunications']
3580,['IT Services and IT Consulting']
3589,['Retail']
3600,['Oil & Energy']
3608,['Computer Hardware Manufacturing']
3625,['Motor Vehicle Manufacturing']
3626,"['Hospital & Health Care', 'Hospitals and Health Care']"
3631,['Financial Services']
3635,['IT Services and IT Consulting']
