company_id,speciality
1009,"['Cloud', 'Mobile', 'Cognitive', 'Security', 'Research', 'Watson', 'Analytics', 'Consulting', 'Commerce', 'Experience Design', 'Internet of Things', 'Technology support', 'Industry solutions', 'Systems services', 'Resiliency services', 'Financing', 'IT infrastructure']"
1016,"['Healthcare', 'Biotechnology']"
1021,"['Distributed Power', 'Gasification', 'Generators', 'Heavy Duty Gas Turbines', 'Nuclear Energy', 'Steam Turbines', 'power generation', 'energy']"
1028,"['enterprise', 'software', 'applications', 'database', 'middleware', 'fusion', 'business intelligence', 'Primavera', 'PeopleSoft', 'EPM', 'BEA', 'Hyperion', 'Retek', 'Utilities', 'On-Demand', 'server & storage systems', 'BPM', 'solutions for communications industry', 'ERP', 'CRM', 'CRM On Demand', 'JDE', 'Siebel']"
1033,"['Management Consulting', 'Systems Integration and Technology', 'Business Process Outsourcing', 'Application and Infrastructure Outsourcing']"
1038,"['Audit', 'Consulting', 'Financial Advisory', 'Risk Management', 'Tax Services']"
1043,"['Electrification', 'Automation', 'Digitalization', 'Innovation', 'Solutions', 'Technology', 'Engineering', 'Manufacturing', 'Artificial Intelligence', 'Internet of Things', 'Cybersecurity', 'Infrastructure', 'Mobility', 'Sustainability', 'Digital Twin']"
1044,"['Assurance', 'Tax', 'Advisory']"
1052,"['Wireless Services', 'U-Verse', 'Enterprise Applications & Managed Hosting Solutions']"
1060,"['5G', 'Internet of Things', 'Mobile broadband', 'Communication services', 'Managed services', 'Fixed broadband', 'LTE', '3G', '4G', 'OSS', 'BSS', 'Cloud', 'Network', 'Telecom', 'ICT', 'IT', 'IP', 'Technology For Good', 'Sustainability', 'IoT', 'Intelligent Transport Systems', 'AI', 'R&D']"
1063,"['Networking', 'Wireless', 'Security', 'Unified Communication', 'Cloud', 'Collaboration', 'Data Center', 'Virtualization', 'Unified Computing Systems']"
1068,"['Consumer & Community Banking', 'Corporate and Investment Bank', 'Asset Management', 'Private Banking', 'Commercial Banking']"
1090,"['Healthcare', 'Medical Devices', 'Health systems', 'Cardiology', 'Healthtech', 'Oncology', 'Respiratory', 'Fertility, pregnancy', 'Connected Care']"
1103,"['Telecommunications Global Leader', 'Information Technology Global Provider', 'Entertainment Services', 'Global Security Solutions Provider']"
