company_id,employee_count,follower_count,time_recorded
1009,316130,16114398,2023-08-24 04:19:39.000000000
1016,54639,2065363,2023-11-04 01:58:44.000000000
1021,26963,2340835,2023-08-24 08:38:46.000000000
1025,70995,3646359,2023-08-24 01:21:37.000000000
1028,202050,9289574,2023-08-24 08:41:49.000000000
1033,540031,11175406,2023-11-04 21:08:01.000000000
1038,419054,13672627,2023-11-03 23:16:35.000000000
1043,213470,6436671,2023-08-24 03:37:45.000000000
1044,273293,5559823,2023-08-23 18:56:19.000000000
1052,169695,1441694,2023-11-03 20:20:22.000000000
1060,111798,1960003,2023-08-24 01:19:51.000000000
1063,100121,6410275,2023-11-04 20:28:52.000000000
1068,283744,4471982,2023-11-04 06:53:47.000000000
1090,68952,2296138,2023-11-04 23:05:53.000000000
1103,95609,1384923,2023-08-24 01:24:16.000000000
1115,112386,3388897,2023-08-24 04:22:00.000000000
1116,87011,7698481,2023-08-24 08:46:53.000000000
1123,209359,2631511,2023-08-24 00:18:23.000000000
1185,100150,5748837,2023-11-04 01:04:28.000000000
1201,2464,47848,2023-11-03 21:52:52.000000000
1230,23408,79569,2023-11-04 02:24:45.000000000
1235,198126,2035223,2023-11-04 20:58:01.000000000
1241,176633,3504495,2023-08-24 01:50:43.000000000
1248,123391,19405390,2023-08-24 02:43:42.000000000
1252,20344,1108778,2023-11-04 04:32:07.000000000
1254,9051,933371,2023-08-24 01:02:22.000000000
1259,85446,1919122,2023-08-24 02:33:04.000000000
1262,68486,2158208,2023-11-04 06:59:57.000000000
1264,3542,130902,2023-08-23 22:55:59.000000000
1281,24047,411989,2023-08-24 02:34:50.000000000
1283,318655,7945216,2023-11-03 19:44:51.000000000
1288,8864,696712,2023-11-03 19:16:42.000000000
1307,71885,855196,2023-08-24 06:46:29.000000000
1318,234555,7856847,2023-11-04 21:59:21.000000000
1337,24520,24697143,2023-11-04 00:18:45.000000000
1339,2630,142687,2023-11-04 00:18:45.000000000
1344,127620,2581081,2023-11-04 22:35:50.000000000
1353,567835,13592250,2023-08-23 19:09:46.000000000
1373,52453,956118,2023-11-04 04:29:38.000000000
1384,109617,3017624,2023-11-04 21:33:01.000000000
1389,64760,3483795,2023-08-24 07:52:52.000000000
1392,85434,551449,2023-08-24 05:00:39.000000000
1393,175781,14769054,2023-11-04 21:31:46.000000000
1396,7383,183787,2023-11-03 22:35:52.000000000
1399,100534,3766474,2023-11-04 22:15:48.000000000
1400,31271,1697119,2023-08-22 06:08:51.000000000
1403,38277,622102,2023-08-24 04:48:52.000000000
1406,74601,3615620,2023-11-04 21:11:45.000000000
1412,86310,1154248,2023-08-24 07:58:00.000000000
1415,67894,1279591,2023-11-04 20:33:50.000000000
1419,55593,641136,2023-11-04 06:57:29.000000000
1431,119403,7622608,2023-08-24 05:47:07.000000000
1441,286089,30825659,2023-08-24 04:33:49.000000000
1449,30808,1279127,2023-11-04 21:19:13.000000000
1463,83579,1460893,2023-08-23 19:04:24.000000000
1464,8085,108154,2023-08-24 01:18:07.000000000
1468,113785,2844474,2023-08-23 19:20:31.000000000
1472,133506,3147236,2023-11-04 22:30:50.000000000
1474,13285,127551,2023-08-24 05:33:43.000000000
1480,36561,4307640,2023-11-03 22:20:59.000000000
1481,19038,556762,2023-08-24 07:49:18.000000000
1482,30566,1324547,2023-08-24 00:22:43.000000000
1483,130395,4092330,2023-11-04 02:16:07.000000000
1486,66036,2162387,2023-11-04 23:15:52.000000000
1491,16360,850671,2023-11-04 09:10:26.000000000
1494,13655,378038,2023-08-24 03:49:24.000000000
1497,29704,1296003,2023-11-04 21:16:43.000000000
1504,3727,45727,2023-11-04 01:25:26.000000000
1505,43440,882482,2023-08-24 04:50:26.000000000
1508,177266,1336119,2023-11-04 07:12:17.000000000
1511,39914,2547607,2023-11-04 22:47:06.000000000
1512,209004,1804409,2023-08-24 00:56:10.000000000
1523,148293,1782811,2023-08-24 04:02:33.000000000
1526,17423,606545,2023-08-24 05:14:49.000000000
1534,153003,801477,2023-11-03 18:48:25.000000000
1539,35579,1036656,2023-11-04 09:35:21.000000000
1551,1559,12673,2023-11-04 07:38:11.000000000
1586,829111,31887198,2023-08-24 00:18:23.000000000
1603,66739,2609217,2023-11-04 23:12:08.000000000
1612,126298,3336822,2023-11-04 21:10:30.000000000
1614,35410,379184,2023-08-23 23:14:47.000000000
1627,28501,159234,2023-11-04 00:44:41.000000000
1630,13062,117985,2023-11-04 21:15:29.000000000
1637,42954,904869,2023-11-03 19:20:23.000000000
1642,85287,3750750,2023-11-04 22:08:17.000000000
1645,11313,330059,2023-08-24 08:18:32.000000000
1646,33834,2338233,2023-08-24 08:14:56.000000000
1658,15460,139786,2023-11-04 00:47:09.000000000
1662,78206,4678976,2023-11-03 22:42:01.000000000
1663,41189,1604766,2023-11-04 22:05:47.000000000
1668,53957,193554,2023-08-24 00:58:51.000000000
1670,12465,109057,2023-11-04 22:13:18.000000000
1673,11846,1473436,2023-11-04 00:34:49.000000000
1677,62631,460126,2023-11-04 07:07:21.000000000
1680,320238,6874018,2023-08-24 07:30:11.000000000
1681,29372,2678875,2023-11-04 21:14:14.000000000
1689,59558,3009671,2023-08-24 04:54:22.000000000
1703,57305,586552,2023-08-24 04:25:08.000000000
1714,28433,1010047,2023-08-24 05:09:19.000000000
1756,248685,5507342,2023-11-04 05:06:56.000000000
1767,34756,520217,2023-08-24 02:44:36.000000000
1773,36148,1247499,2023-11-04 23:09:38.000000000
1784,35264,4043019,2023-11-04 00:50:52.000000000
1792,25669,1265955,2023-08-24 00:57:53.000000000
1799,64280,2553525,2023-11-04 20:23:54.000000000
1808,88950,674892,2023-08-24 04:30:39.000000000
1828,56182,1007731,2023-08-24 08:27:08.000000000
1833,3086,2867303,2023-11-04 08:04:09.000000000
1841,87285,1687414,2023-11-04 21:53:06.000000000
1852,28678,325821,2023-08-24 08:12:54.000000000
1869,293,18815,2023-08-24 07:42:34.000000000
1874,27292,566816,2023-11-04 00:57:04.000000000
1879,14610,745694,2023-11-04 06:37:43.000000000
1881,11189,255248,2023-11-04 00:18:45.000000000
1900,21694,432172,2023-11-03 20:14:16.000000000
1906,3169,66988,2023-11-04 21:27:59.000000000
1908,8691,141102,2023-08-24 09:06:43.000000000
1929,22573,1670340,2023-11-03 22:33:24.000000000
1951,72320,1291792,2023-11-04 04:53:15.000000000
1970,46781,419788,2023-11-02 22:29:46.000000000
1974,30802,277897,2023-08-24 06:19:29.000000000
2017,43909,1337795,2023-08-24 07:14:46.000000000
2018,26077,399069,2023-11-04 21:20:28.000000000
2019,13040,270212,2023-11-04 21:36:52.000000000
2029,69180,5406737,2023-11-04 21:30:31.000000000
2032,5487,48167,2023-11-04 08:22:42.000000000
2041,68191,1155421,2023-11-03 22:38:20.000000000
2046,6202,3038167,2023-11-03 22:34:38.000000000
2059,35130,564429,2023-11-04 21:11:45.000000000
2078,22194,1634007,2023-11-04 22:32:05.000000000
2082,1326,42702,2023-11-04 07:14:45.000000000
2087,72932,1672796,2023-11-03 22:19:44.000000000
2105,12707,658290,2023-08-24 07:24:33.000000000
2107,17383,380347,2023-08-24 08:16:58.000000000
2121,14567,143091,2023-08-23 19:05:45.000000000
2137,33883,751393,2023-11-02 22:32:15.000000000
2148,35731,484391,2023-08-24 06:59:18.000000000
2152,25624,814945,2023-11-03 22:29:43.000000000
2153,3111,237571,2023-11-03 21:11:21.000000000
2157,9529,321489,2023-11-04 01:09:24.000000000
2162,32723,585446,2023-08-24 05:33:43.000000000
2190,24911,1504084,2023-11-04 22:12:03.000000000
2192,44183,4287193,2023-08-24 04:18:05.000000000
2193,3843,55315,2023-11-04 02:02:27.000000000
2206,10079,304172,2023-08-23 23:31:51.000000000
2213,57743,815103,2023-11-04 22:40:50.000000000
2217,53762,2180156,2023-11-03 22:19:44.000000000
2219,27025,597023,2023-11-04 20:28:52.000000000
2227,49186,1568010,2023-08-24 08:08:49.000000000
2230,8206,112576,2023-11-04 21:59:21.000000000
2235,71693,1921601,2023-11-03 06:47:48.000000000
2238,75307,3060758,2023-11-04 22:43:21.000000000
2240,11863,720844,2023-11-04 08:40:40.000000000
2247,65962,1320196,2023-08-24 06:06:06.000000000
2251,24207,563516,2023-11-04 22:14:33.000000000
2252,24409,424199,2023-08-24 06:51:37.000000000
2271,125476,2716450,2023-08-24 01:10:17.000000000
2272,70629,1217283,2023-11-03 22:38:20.000000000
2276,20530,686248,2023-08-24 00:59:43.000000000
2279,45910,681752,2023-08-24 00:08:01.000000000
2300,73840,605124,2023-08-24 08:15:57.000000000
2305,15833,348145,2023-11-04 08:30:48.000000000
2307,9644,1414897,2023-08-23 22:41:24.000000000
2311,218194,2272123,2023-11-03 19:55:49.000000000
2319,70681,1246264,2023-08-24 08:45:53.000000000
2327,62821,2050253,2023-08-24 08:22:35.000000000
2329,81699,3903698,2023-11-03 19:32:42.000000000
2336,5671,306599,2023-11-04 00:26:11.000000000
2340,30870,262289,2023-11-04 01:42:44.000000000
2380,62759,799043,2023-11-04 04:45:53.000000000
2381,109168,440769,2023-11-03 19:15:28.000000000
2423,24662,691350,2023-08-24 05:36:04.000000000
2432,13783,504160,2023-11-04 22:22:04.000000000
2445,34885,333877,2023-08-23 23:00:05.000000000
2449,121617,1924566,2023-11-04 21:14:14.000000000
2457,18177,555249,2023-11-03 19:33:55.000000000
2459,8916,150385,2023-08-24 04:00:14.000000000
2465,2555,197980,2023-08-23 23:41:33.000000000
2467,19604,194289,2023-08-24 08:10:22.000000000
2474,14223,102892,2023-08-24 02:04:55.000000000
2476,5944,85919,2023-08-24 05:00:39.000000000
2477,27219,1084097,2023-08-24 02:04:02.000000000
2483,21986,243272,2023-11-03 23:42:48.000000000
2494,26023,1795331,2023-11-04 21:51:51.000000000
2516,33846,704653,2023-08-24 03:26:24.000000000
2519,1670,133483,2023-11-03 19:49:42.000000000
2528,22893,1164229,2023-08-24 05:17:10.000000000
2532,75664,436334,2023-11-04 23:09:38.000000000
2534,16829,687396,2023-08-24 08:59:34.000000000
2539,12647,251890,2023-11-02 22:39:44.000000000
2562,43847,1024790,2023-08-24 00:57:53.000000000
2576,26990,467788,2023-11-04 02:37:05.000000000
2582,3484,31915,2023-11-04 00:43:27.000000000
2584,28478,653788,2023-08-24 01:57:49.000000000
2593,1561,117124,2023-08-24 09:06:43.000000000
2609,2729,37037,2023-08-24 02:53:30.000000000
2612,3468,80130,2023-08-24 02:45:29.000000000
2622,49528,1624105,2023-11-04 21:56:51.000000000
2623,6769,58204,2023-08-24 09:15:21.000000000
2633,61699,2099502,2023-11-04 01:19:16.000000000
2645,3773,94485,2023-08-23 22:55:10.000000000
2646,415054,4497557,2023-08-24 08:48:55.000000000
2648,2282,24593,2023-08-24 06:05:05.000000000
2649,15768,286187,2023-08-24 04:49:39.000000000
2650,20417,547814,2023-08-24 08:03:08.000000000
2651,10825,67496,2023-11-04 22:22:04.000000000
2652,7815,42506,2023-08-23 23:07:28.000000000
2654,1967,38079,2023-11-03 07:02:30.000000000
2660,1269,25023,2023-11-04 04:55:43.000000000
2662,798,7277,2023-11-03 06:53:57.000000000
2666,2829,50831,2023-11-03 20:22:53.000000000
2669,37561,1271043,2023-08-24 07:28:39.000000000
2677,538566,2077759,2023-08-24 09:04:39.000000000
2678,73842,2361990,2023-08-24 03:05:54.000000000
2690,5257,59993,2023-08-24 05:29:46.000000000
2701,41040,426740,2023-08-24 08:59:34.000000000
2709,20548,353153,2023-11-04 21:54:21.000000000
2722,13621,285832,2023-08-24 06:28:40.000000000
2723,29218,988267,2023-11-04 07:17:12.000000000
2730,30892,181630,2023-11-04 22:30:50.000000000
2734,73543,2075515,2023-11-04 07:30:46.000000000
2739,4449,58911,2023-11-04 04:59:24.000000000
2743,82765,2793899,2023-08-24 07:48:16.000000000
2748,27231,2232000,2023-08-24 04:07:58.000000000
2750,2917,60911,2023-08-24 03:50:11.000000000
2751,22255,661962,2023-08-24 01:17:14.000000000
2753,46027,989637,2023-11-03 20:54:05.000000000
2775,96563,764559,2023-11-04 21:11:45.000000000
2776,4655,53457,2023-11-04 23:10:53.000000000
2786,1841,26707,2023-11-04 04:59:24.000000000
2787,1653,37682,2023-08-24 00:08:52.000000000
2815,43186,284104,2023-08-21 19:04:19.998112512
2819,3384,264487,2023-08-23 22:41:24.000000000
2842,18705,364115,2023-08-23 22:38:58.000000000
2859,10883,139490,2023-08-24 00:09:44.000000000
2868,16224,230892,2023-11-04 08:16:32.000000000
2875,899,275068,2023-11-03 18:49:40.000000000
2880,3796,79816,2023-08-24 06:13:49.000000000
2882,8731,80361,2023-11-04 01:37:47.000000000
2889,19358,600658,2023-11-03 20:15:29.000000000
2895,14822,120544,2023-11-04 22:08:17.000000000
2896,19201,169303,2023-11-04 20:33:50.000000000
2898,1283,7153,2023-11-04 21:56:51.000000000
2899,2113,13120,2023-11-04 06:57:29.000000000
2911,91002,171741,2023-11-04 05:04:28.000000000
2913,3962,12899,2023-11-04 08:30:48.000000000
2915,4039,12546,2023-11-04 02:29:40.000000000
2918,1787,17889,2023-11-04 00:03:55.000000000
2931,4840,54617,2023-08-24 04:40:53.000000000
2933,6407,270352,2023-08-24 04:17:18.000000000
2934,36519,444880,2023-11-04 22:50:51.000000000
2958,3189,51226,2023-11-04 00:37:18.000000000
2962,26984,798962,2023-08-24 07:12:44.000000000
2981,41921,801027,2023-11-03 18:54:40.000000000
2982,2112,31886,2023-08-24 07:52:52.000000000
2985,3921,46235,2023-08-24 05:47:07.000000000
2986,3265,73726,2023-11-03 07:23:48.000000000
2988,34656,1946244,2023-08-24 07:10:40.000000000
2995,17560,408498,2023-11-04 21:03:02.000000000
2997,8738,232051,2023-11-04 02:04:55.000000000
3007,11971,841612,2023-11-04 08:01:40.000000000
3015,34236,1352586,2023-11-04 21:12:59.000000000
3027,11169,623629,2023-11-03 21:01:28.000000000
3028,19496,143587,2023-08-24 08:20:34.000000000
3029,9871,78014,2023-11-04 06:40:11.000000000
3032,17465,151108,2023-11-04 02:17:21.000000000
3033,19034,420582,2023-08-23 23:55:13.000000000
3047,15171,362745,2023-11-04 21:55:36.000000000
3067,156740,5043809,2023-08-23 19:07:06.000000000
3072,24674,367204,2023-11-03 21:12:35.000000000
3076,3771,305263,2023-08-24 07:50:20.000000000
3084,22279,693161,2023-08-24 01:17:14.000000000
3088,40644,376202,2023-11-04 00:50:52.000000000
3090,7400,289816,2023-11-04 07:48:04.000000000
3102,43343,857413,2023-08-24 00:14:02.000000000
3117,4706,306676,2023-08-23 22:58:25.000000000
3123,37302,446301,2023-11-03 22:22:15.000000000
3128,47151,625064,2023-08-24 03:57:54.000000000
3135,14843,468679,2023-11-04 22:18:19.000000000
3137,15177,650555,2023-11-03 20:11:48.000000000
3140,10358,150149,2023-08-24 08:19:34.000000000
3162,23706,666887,2023-11-03 20:06:52.000000000
3163,18371,137789,2023-11-04 00:02:42.000000000
3165,20198,530370,2023-08-24 09:09:46.000000000
3169,8936,209264,2023-11-04 01:10:39.000000000
3175,13790,274753,2023-11-04 01:46:25.000000000
3178,81670,1736455,2023-11-04 08:45:36.000000000
3184,23866,401812,2023-11-04 22:09:32.000000000
3185,70164,4681189,2023-11-04 20:28:52.000000000
3196,15378,348586,2023-08-24 05:26:36.000000000
3214,10641,463231,2023-11-03 23:01:45.000000000
3222,29350,712407,2023-11-03 23:10:22.000000000
3235,41356,1656552,2023-11-04 23:07:08.000000000
3240,53065,214679,2023-08-24 05:01:26.000000000
3242,23627,363823,2023-11-04 21:11:45.000000000
3246,6642,105445,2023-11-04 21:31:46.000000000
3252,17234,89350,2023-11-04 07:49:18.000000000
3256,41977,98782,2023-08-24 05:32:55.000000000
3260,21042,384706,2023-11-03 18:47:10.000000000
3264,37317,192269,2023-11-04 21:14:14.000000000
3269,60185,1555047,2023-11-04 21:29:15.000000000
3304,23355,984164,2023-11-04 22:00:38.000000000
3321,19638,444012,2023-11-03 18:44:41.000000000
3327,298,5292,2023-11-04 02:01:13.000000000
3334,14625,211475,2023-11-03 19:43:38.000000000
3335,24292,135402,2023-08-24 02:42:50.000000000
3337,7660,195676,2023-11-03 20:55:20.000000000
3339,2086,32108,2023-11-04 22:45:51.000000000
3342,10796,255870,2023-11-03 21:10:07.000000000
3364,34702,603203,2023-08-23 19:21:51.000000000
3379,42811,533288,2023-11-04 07:57:57.000000000
3384,27324,57319,2023-08-23 19:00:20.000000000
3392,13521,161544,2023-08-24 01:03:14.000000000
3398,3505,380201,2023-08-24 04:05:39.000000000
3400,2848,186274,2023-11-03 22:55:35.000000000
3407,57178,190928,2023-08-24 02:12:48.000000000
3409,6110,235909,2023-11-03 23:29:00.000000000
3411,16793,199146,2023-11-03 21:05:11.000000000
3432,36660,278160,2023-08-23 19:00:20.000000000
3439,35222,1124561,2023-11-04 00:52:07.000000000
3450,23143,340936,2023-11-03 06:56:25.000000000
3460,36046,147464,2023-11-03 07:00:04.000000000
3469,28040,530835,2023-11-04 01:20:30.000000000
3476,10055,3408387,2023-11-04 21:35:38.000000000
3486,24933,6909238,2023-11-04 21:51:51.000000000
3493,7450,205919,2023-11-04 21:58:06.000000000
3498,44217,188651,2023-11-04 21:16:43.000000000
3524,12019,99235,2023-11-03 23:36:25.000000000
3528,15398,312341,2023-08-24 08:00:02.000000000
3532,3915,25302,2023-11-04 21:26:44.000000000
3534,70170,1496396,2023-08-24 03:56:21.000000000
3536,6674,504184,2023-11-03 23:15:18.000000000
3537,22000,542550,2023-11-03 19:33:55.000000000
3538,3595,81446,2023-11-03 21:07:39.000000000
3549,17825,1108758,2023-11-03 22:37:06.000000000
3556,14157,537086,2023-08-23 22:55:59.000000000
3557,2940,31534,2023-08-23 23:19:38.000000000
3558,16831,437864,2023-08-24 02:43:42.000000000
3569,2884,47289,2023-11-03 07:02:30.000000000
3580,16360,190015,2023-11-04 08:43:08.000000000
3589,79930,544770,2023-08-24 02:38:23.000000000
3600,15735,1081051,2023-08-23 23:55:13.000000000
